Rk	Team	Conf	W-L	AdjEM	AdjO	AdjD	AdjT	Luck	AdjEM	OppO	OppD	AdjEM
1	Gonzaga 1	WCC	31-1	+36.48	126.4	1	89.9	11	73.8	7	+.022	127	+11.35	72	108.1	70	96.8	74	+6.21	112
2	Baylor 1	B12	28-2	+33.87	125.0	2	91.1	22	67.4	213	+.046	80	+13.25	54	108.7	64	95.5	44	-2.83	258
3	Michigan 1	B10	23-5	+29.67	117.6	9	87.9	4	66.6	256	+.007	156	+16.44	19	111.7	9	95.3	39	+2.51	178
4	Illinois 1	B10	24-7	+29.06	118.0	8	88.9	7	70.5	79	+.022	128	+18.17	5	112.3	5	94.1	13	+10.44	59
5	Houston 2	Amer	28-4	+28.75	118.3	7	89.6	9	64.4	332	+.018	133	+9.21	90	105.7	105	96.5	67	+2.11	187
6	USC 6	P12	25-8	+27.58	115.7	14	88.1	6	67.0	235	+.001	171	+16.27	21	111.1	19	94.8	28	+6.28	111
7	Iowa 2	B10	22-9	+26.87	123.5	3	96.7	75	69.9	93	-.027	244	+16.41	20	110.4	31	94.0	9	-4.90	285
8	Colorado 5	P12	23-9	+25.10	116.3	13	91.2	23	66.1	276	-.025	237	+15.43	28	110.3	32	94.9	31	+3.82	157
9	Alabama 2	SEC	26-7	+25.09	112.9	30	87.8	3	73.3	11	+.020	131	+14.80	33	110.1	35	95.3	41	+9.45	71
10	Loyola Chicago 8	MVC	26-5	+24.32	111.3	41	87.0	2	63.7	342	-.024	233	+6.27	112	105.6	110	99.4	123	+4.81	139
11	Ohio St. 2	B10	21-10	+23.58	120.7	4	97.1	82	66.7	251	-.012	212	+17.90	9	111.6	10	93.7	5	+3.47	164
12	Villanova 5	BE	18-7	+23.02	119.0	6	96.0	66	64.2	336	-.007	200	+13.66	47	109.3	51	95.7	50	+8.12	89
13	UCLA 11	P12	22-10	+22.43	116.9	11	94.5	46	63.8	341	+.028	110	+17.38	11	111.3	14	93.9	6	+9.87	66
14	Wisconsin 9	B10	18-13	+22.40	113.0	29	90.6	15	64.6	328	-.052	289	+18.13	6	112.1	7	93.9	8	+1.24	199
15	Florida St. 4	ACC	18-7	+22.12	114.9	16	92.8	33	69.9	90	+.002	167	+13.48	50	109.5	46	96.0	60	+4.42	145
16	Oregon 7	P12	21-7	+21.85	117.2	10	95.4	55	67.2	226	+.049	72	+15.20	30	110.6	26	95.4	43	+3.72	160
17	Texas Tech 6	B12	18-11	+21.81	112.7	32	90.9	18	65.1	316	-.099	340	+12.84	59	108.5	67	95.7	51	-4.88	283
18	Arkansas 3	SEC	25-7	+21.56	111.1	43	89.6	10	72.6	19	+.064	51	+12.69	63	109.4	49	96.7	73	-4.09	272
19	Virginia 4	ACC	18-7	+21.42	114.7	17	93.3	36	59.9	357	+.025	118	+12.05	69	109.8	40	97.8	96	+0.24	211
20	BYU 6	WCC	20-7	+21.12	113.7	23	92.5	30	67.6	206	+.037	91	+12.31	65	109.1	57	96.8	76	+10.05	65
21	Connecticut 7	BE	15-8	+20.61	113.1	27	92.5	29	65.5	309	-.068	310	+12.99	57	108.2	69	95.2	33	-1.27	240
22	Creighton 5	BE	22-9	+20.59	113.4	25	92.8	32	68.7	144	+.017	137	+13.19	55	108.8	63	95.6	49	-0.73	230
23	West Virginia 3	B12	19-10	+20.51	116.8	12	96.3	70	69.2	122	-.056	294	+15.18	31	109.6	45	94.4	20	+13.77	29
24	LSU 8	SEC	19-10	+20.35	120.1	5	99.8	124	70.6	70	-.007	201	+14.77	35	108.7	66	93.9	7	+1.13	202
25	Purdue 4	B10	18-10	+20.33	113.3	26	92.9	34	66.1	278	+.010	148	+16.61	17	111.2	16	94.6	22	+5.71	122
26	Texas 3	B12	19-8	+20.31	113.1	28	92.8	31	68.6	146	-.004	190	+14.52	38	109.2	54	94.7	23	+8.20	85
27	Kansas 3	B12	21-9	+19.98	110.1	54	90.2	12	68.2	174	+.070	44	+15.83	24	110.7	25	94.8	29	+10.43	60
28	Tennessee 5	SEC	18-9	+19.95	108.0	85	88.1	5	67.1	232	-.013	215	+13.11	56	108.9	60	95.8	53	-0.34	221
29	Arizona	P12	17-9	+19.92	115.6	15	95.7	59	67.7	198	-.017	220	+13.38	51	109.3	52	95.9	56	-4.01	271
30	San Diego St. 6	MWC	23-5	+19.88	111.0	45	91.1	21	65.5	307	+.027	114	+7.22	103	106.4	97	99.2	117	+13.66	31
31	Memphis 1	Amer	20-8	+19.11	105.5	117	86.4	1	71.3	48	-.068	311	+8.72	96	105.9	101	97.2	82	+1.45	198
32	St. Bonaventure 9	A10	16-5	+19.04	110.0	55	91.0	20	64.8	320	+.016	140	+8.53	98	106.6	92	98.0	103	+2.44	180
33	Oklahoma St. 4	B12	21-9	+18.95	109.6	60	90.7	17	72.4	24	+.038	90	+15.52	27	111.1	18	95.6	47	+5.81	121
34	North Carolina 8	ACC	18-11	+18.62	110.3	52	91.7	27	71.5	43	-.005	194	+14.79	34	110.9	21	96.1	62	+8.20	87
35	Maryland 10	B10	17-14	+17.63	111.8	37	94.1	42	64.7	321	-.024	234	+17.10	13	110.2	34	93.1	2	-1.11	236
36	Duke	ACC	13-11	+17.56	114.5	18	97.0	79	68.5	152	-.109	347	+12.27	67	109.1	58	96.8	77	+5.59	127
37	Georgia Tech 9	ACC	17-9	+17.50	113.7	22	96.2	68	67.3	223	-.005	193	+12.70	61	108.7	65	96.0	58	-0.96	233
38	Rutgers 10	B10	16-12	+17.48	108.1	82	90.6	16	67.4	214	+.027	113	+17.99	7	112.4	3	94.4	19	-5.69	294
39	Oklahoma 8	B12	16-11	+17.06	112.1	35	95.1	51	67.1	228	-.025	238	+14.29	43	109.5	47	95.2	34	+1.93	192
40	Penn St.	B10	11-14	+17.03	112.2	34	95.2	52	69.1	125	-.050	286	+19.38	1	112.2	6	92.8	1	+11.55	47
41	Florida 7	SEC	15-10	+16.95	111.0	44	94.1	41	68.3	167	-.004	188	+14.72	36	109.9	36	95.2	35	+8.88	76
42	Syracuse 11	ACC	18-10	+16.75	113.7	24	96.9	77	68.6	151	+.029	109	+12.94	58	109.4	48	96.5	66	+2.09	188
43	Oregon St. 12	P12	20-13	+16.40	112.1	36	95.7	60	65.5	306	+.072	40	+16.72	16	111.2	15	94.5	21	-4.52	278
44	Utah	P12	12-13	+15.78	112.7	31	97.0	78	67.6	203	-.077	319	+15.67	25	110.5	29	94.8	27	-5.46	290
45	Clemson 7	ACC	16-8	+15.48	106.4	107	90.9	19	64.0	337	+.100	18	+14.39	41	109.7	43	95.3	38	+11.60	46
46	Utah St. 11	MWC	20-9	+15.34	104.8	126	89.5	8	68.6	149	-.037	262	+5.64	120	105.4	118	99.7	130	+8.20	86
47	Missouri 9	SEC	16-10	+15.14	110.6	49	95.5	57	68.4	163	+.070	43	+15.85	23	110.2	33	94.4	17	+11.39	50
48	VCU 10	A10	19-7	+15.04	105.2	122	90.2	14	69.6	107	+.035	97	+8.57	97	106.5	93	98.0	99	+5.66	124
49	Kentucky	SEC	9-16	+14.97	108.0	84	93.1	35	68.1	181	-.148	354	+16.91	15	110.9	22	94.0	10	+15.29	23
50	Indiana	B10	12-15	+14.95	109.1	70	94.2	43	65.9	289	-.053	290	+18.33	3	111.4	13	93.1	3	+9.18	72
