Rk	Team	Conf	W-L	AdjEM	AdjO	AdjD	AdjT	Luck	AdjEM	OppO	OppD	AdjEM
1	Kansas 1*	B12	28-3	+30.23	115.8	8	85.5	2	67.3	233	+.040	79	+12.66	2	107.4	26	94.7	1	+9.58	10
2	Gonzaga 1*	WCC	31-2	+26.95	121.3	1	94.4	43	71.9	35	+.050	50	+2.42	109	103.5	115	101.0	99	-2.09	245
3	Baylor 1*	B12	26-4	+25.49	113.5	17	88.1	4	66.2	277	+.016	144	+10.20	27	106.4	39	96.2	11	+1.38	132
4	Dayton 1*	A10	29-2	+24.93	119.1	2	94.1	38	67.6	220	+.002	180	+2.74	105	104.1	103	101.3	105	-0.74	203
5	Duke 3*	ACC	25-6	+24.62	115.7	9	91.1	12	72.0	34	-.009	209	+7.28	54	106.0	53	98.7	58	+2.60	85
6	San Diego St. 2*	MWC	30-2	+24.48	115.1	11	90.6	10	64.6	332	-.008	204	+2.98	101	105.3	76	102.3	136	-1.80	239
7	Michigan St. 3*	B10	22-9	+24.03	115.2	10	91.2	13	69.1	130	-.012	217	+12.04	7	108.6	5	96.5	14	+1.83	109
8	Ohio St. 5*	B10	21-10	+22.23	114.3	13	92.0	19	66.2	280	-.038	280	+11.10	16	108.0	15	96.9	20	-1.31	225
9	Louisville 4*	ACC	24-7	+21.36	114.5	12	93.1	30	67.1	242	-.003	193	+7.10	58	105.3	75	98.2	48	-1.09	216
10	West Virginia 6*	B12	21-10	+21.26	108.3	67	87.1	3	69.4	112	-.028	260	+11.28	15	107.2	27	95.9	8	+5.80	32
11	Maryland 3*	B10	24-7	+21.12	113.5	18	92.4	22	67.0	245	+.037	87	+11.35	13	107.9	16	96.6	15	-0.44	192
12	Creighton 2*	BE	24-7	+20.93	118.2	3	97.3	78	68.3	178	+.072	23	+10.72	21	107.9	18	97.2	22	+2.69	81
13	BYU 5*	WCC	24-8	+20.68	116.3	7	95.6	60	69.5	108	-.028	259	+6.06	74	106.0	49	100.0	86	+7.40	20
14	Houston 7*	Amer	23-8	+20.39	112.7	22	92.3	21	65.7	300	-.052	308	+6.33	68	104.2	99	97.9	38	+2.56	88
15	Florida St. 2*	ACC	26-5	+20.22	111.7	32	91.5	15	69.9	89	+.065	37	+7.96	48	106.3	44	98.4	53	+1.22	140
16	Michigan 6*	B10	19-12	+20.12	113.2	20	93.0	28	68.7	150	-.048	301	+12.79	1	110.2	1	97.4	27	+2.00	105
17	Oregon 4*	P12	24-7	+20.00	117.1	6	97.1	76	65.0	319	+.023	120	+8.15	42	105.6	62	97.4	30	+4.11	54
18	Villanova 2*	BE	24-7	+19.98	113.9	15	94.0	36	66.2	275	+.082	16	+10.88	17	108.2	10	97.3	25	+4.22	51
19	Arizona 7*	P12	21-11	+19.60	111.0	35	91.4	14	69.3	115	-.077	327	+7.72	50	106.5	38	98.8	62	+2.41	92
20	Seton Hall 3*	BE	21-9	+19.54	112.3	29	92.7	25	69.8	93	+.006	169	+11.48	12	108.4	7	96.9	19	+4.86	41
21	Texas Tech 10*	B12	18-13	+19.28	109.8	47	90.5	9	67.3	236	-.113	346	+8.74	37	106.0	51	97.3	24	-3.87	296
22	Wisconsin 4*	B10	21-10	+18.95	110.8	40	91.9	17	63.7	342	+.031	102	+11.74	10	108.7	2	96.9	21	+1.61	120
23	Iowa 6*	B10	20-11	+18.65	117.3	5	98.6	97	70.2	77	+.005	172	+12.28	4	108.6	3	96.3	13	+2.40	93
24	Purdue	B10	16-15	+18.57	109.3	50	90.8	11	64.6	333	-.104	342	+12.19	6	108.4	6	96.3	12	+2.78	77
25	Butler 5*	BE	22-9	+18.39	112.6	25	94.2	42	63.7	341	+.032	101	+10.22	26	107.6	22	97.4	28	+1.07	144
26	Penn St. 6*	B10	21-10	+17.91	110.3	43	92.4	23	70.9	54	+.014	149	+10.72	22	108.1	11	97.4	29	-4.20	304
27	Minnesota	B10	15-16	+17.83	112.1	30	94.2	41	66.8	257	-.130	351	+12.38	3	108.6	4	96.2	10	+2.88	76
28	Rutgers 9*	B10	20-11	+17.72	107.9	72	90.2	6	67.4	231	-.042	286	+9.88	31	107.4	25	97.5	32	-4.44	309
29	Kentucky 4*	SEC	25-6	+17.60	112.7	24	95.1	52	67.7	215	+.018	138	+6.37	66	105.9	57	99.6	78	-0.87	207
30	Illinois 7*	B10	21-10	+17.23	110.9	38	93.7	35	66.0	288	+.022	123	+10.38	25	107.7	20	97.3	26	-5.83	333
31	Marquette 9*	BE	18-12	+17.19	114.0	14	96.9	73	70.7	60	-.046	293	+10.78	20	107.6	21	96.9	18	+2.13	100
32	Florida 9*	SEC	19-12	+16.79	112.5	27	95.7	61	64.9	326	-.047	296	+8.82	36	107.8	19	98.9	67	+6.92	23
33	Auburn 5*	SEC	25-6	+15.91	111.4	33	95.5	55	69.2	127	+.103	7	+6.70	62	107.0	32	100.3	90	+1.38	133
34	Indiana 10*	B10	20-12	+15.73	108.5	65	92.7	26	67.9	206	+.016	143	+10.71	23	108.3	8	97.6	35	-0.60	198
35	Colorado 8*	P12	21-11	+15.71	109.1	54	93.4	32	68.2	188	-.010	213	+7.42	52	105.5	66	98.0	43	+2.77	78
36	Oklahoma 10*	B12	19-12	+15.70	108.8	58	93.1	29	69.6	98	+.031	103	+12.22	5	107.5	24	95.3	3	+5.86	30
37	LSU 8*	SEC	21-10	+15.62	118.1	4	102.4	179	70.0	84	-.020	237	+7.18	56	105.8	61	98.6	55	+2.01	103
38	Saint Mary's 8*	WCC	26-8	+15.19	113.7	16	98.5	96	63.9	339	+.055	46	+4.46	88	105.4	70	100.9	97	-0.32	188
39	Wichita St. 11*	Amer	23-8	+15.19	105.6	117	90.4	8	69.5	101	+.041	78	+4.78	81	103.7	109	98.9	66	-1.25	223
40	Providence 8*	BE	19-12	+15.00	107.8	75	92.8	27	68.4	171	-.008	205	+8.85	35	106.7	37	97.8	37	-1.12	217
41	Utah St. 11*	MWC	26-8	+14.92	109.5	49	94.6	48	67.4	229	+.034	94	+3.09	100	105.0	81	101.9	122	+1.55	124
42	Virginia 7*	ACC	23-7	+14.22	99.3	234	85.1	1	59.4	353	+.109	6	+6.93	60	105.6	63	98.7	57	-3.70	292
43	Stanford	P12	20-12	+14.11	104.4	143	90.3	7	68.3	183	-.080	330	+4.97	79	104.2	101	99.2	71	-4.02	301
44	Cincinnati 12*	Amer	20-10	+14.02	108.8	59	94.7	51	68.0	199	-.013	220	+6.52	65	104.4	94	97.9	39	+3.60	64
45	Xavier	BE	19-13	+13.90	106.1	103	92.2	20	68.1	191	-.013	222	+9.93	30	108.3	9	98.4	52	+1.74	112
46	Richmond 11*	A10	24-7	+13.87	109.2	53	95.3	54	69.3	124	+.044	69	+1.86	115	104.2	98	102.4	142	-0.95	211
47	Arkansas	SEC	20-12	+13.59	109.1	55	95.5	57	71.2	45	-.047	298	+6.53	64	106.7	36	100.2	88	+1.28	136
48	Mississippi St.	SEC	20-11	+13.57	113.4	19	99.8	119	66.2	276	-.001	187	+6.27	70	106.0	50	99.7	83	+0.07	178
49	Northern Iowa	MVC	25-6	+13.43	112.7	23	99.3	108	65.8	299	+.019	134	+0.97	124	102.6	146	101.6	114	+1.26	138
50	N.C. State 11*	ACC	20-12	+13.39	110.7	42	97.3	79	69.5	103	-.020	236	+7.04	59	105.4	73	98.3	50	-2.93	271
51	Syracuse	ACC	18-14	+13.28	112.8	21	99.6	116	68.3	179	-.060	315	+6.70	61	105.6	65	98.9	64	-1.28	224
52	Connecticut	Amer	19-12	+12.97	108.6	64	95.6	59	68.5	167	-.077	325	+4.52	86	103.1	124	98.6	54	-1.69	233
53	Oklahoma St.	B12	18-14	+12.73	107.2	84	94.5	46	68.4	173	+.034	96	+11.31	14	107.1	28	95.8	5	+4.17	53
54	Washington	P12	15-17	+12.67	105.8	112	93.1	31	69.8	96	-.157	353	+7.60	51	105.4	72	97.8	36	+1.03	148
55	USC 9*	P12	22-9	+12.35	104.3	145	92.0	18	68.9	139	+.083	15	+6.32	69	105.2	78	98.8	63	-1.48	229
56	East Tennessee St. 11*	SC	30-4	+12.23	108.2	69	96.0	65	66.1	281	+.067	33	-1.96	201	103.0	129	105.0	273	-0.64	199
57	Notre Dame	ACC	20-12	+12.09	110.7	41	98.6	100	68.1	190	-.021	239	+5.02	78	104.9	85	99.9	84	-8.69	348
58	Yale 12**	Ivy	23-7	+11.57	107.9	73	96.4	67	67.4	227	-.026	253	+0.22	143	102.1	179	101.9	120	+3.64	63
59	Memphis	Amer	21-10	+11.53	100.6	210	89.1	5	72.6	28	+.025	116	+4.81	80	104.5	91	99.7	81	-2.18	247
60	Alabama	SEC	16-15	+11.50	111.0	37	99.5	114	74.8	4	-.076	324	+7.83	49	106.9	33	99.1	69	+3.96	59
61	Texas	B12	19-12	+11.46	104.1	153	92.6	24	65.9	292	+.089	12	+10.04	29	106.9	35	96.8	17	-0.30	187
62	Saint Louis	A10	23-8	+11.41	105.8	111	94.4	44	67.6	219	+.026	111	+1.83	116	103.1	125	101.2	101	-1.72	236
63	Arizona St. 10*	P12	20-11	+11.30	106.0	108	94.7	49	73.2	14	+.069	28	+8.22	41	106.4	41	98.1	47	+2.65	82
64	Georgia Tech	ACC	17-14	+11.26	103.1	171	91.8	16	70.0	88	-.006	200	+9.42	34	107.0	31	97.6	34	+4.04	58
65	Rhode Island	A10	21-9	+11.06	105.2	126	94.2	39	71.2	46	+.068	32	+4.64	83	105.0	79	100.4	92	+4.07	57
66	St. John's	BE	17-15	+10.92	106.1	104	95.2	53	72.9	21	-.037	278	+8.27	40	106.3	46	98.0	42	-5.52	328
67	Georgetown	BE	15-17	+10.82	111.0	36	100.2	125	70.0	87	-.049	302	+10.86	18	108.1	14	97.2	23	+1.50	126
68	Tennessee	SEC	17-14	+10.80	106.6	96	95.8	62	65.2	313	-.020	235	+8.11	45	106.2	47	98.1	45	+2.75	79
69	South Carolina	SEC	18-13	+10.66	105.4	122	94.7	50	73.1	17	-.023	247	+6.10	72	105.4	68	99.3	72	-0.56	196
70	Davidson	A10	16-14	+10.62	112.5	26	101.9	163	64.8	330	-.094	339	+3.66	93	103.1	122	99.5	74	+2.91	74
71	Louisiana Tech	CUSA	22-8	+10.47	108.7	60	98.2	90	66.5	266	-.023	246	-1.65	192	101.7	206	103.3	187	-4.54	312
72	Clemson	ACC	16-15	+10.42	103.9	155	93.5	33	66.0	290	-.043	289	+8.15	44	106.3	45	98.1	46	-1.70	235
73	VCU	A10	18-13	+10.29	104.7	138	94.4	45	69.0	134	-.064	320	+3.55	94	104.2	102	100.6	94	-1.01	213
74	San Francisco	WCC	22-12	+10.13	108.3	68	98.2	88	68.7	155	-.006	201	+2.96	102	104.4	92	101.5	110	-1.43	226
75	Northern Colorado	BSky	22-9	+10.12	110.2	45	100.1	122	65.0	320	-.035	274	-2.29	213	101.1	229	103.4	193	+1.74	113
76	Vermont 13**	AE	26-7	+10.10	106.5	98	96.4	68	66.3	273	-.027	257	-5.44	280	98.7	319	104.2	234	+1.80	110
77	North Texas 13**	CUSA	20-11	+9.97	111.2	34	101.2	146	62.9	350	-.032	268	+1.92	113	102.5	152	100.6	93	+6.11	28
78	UCLA 11*	P12	19-12	+9.92	109.3	51	99.4	112	64.9	325	+.047	59	+7.16	57	105.5	67	98.3	49	-0.73	202
79	Liberty 12*	ASun	30-4	+9.68	106.1	107	96.4	69	61.5	352	+.023	119	-9.00	345	98.3	331	107.3	347	-5.13	322
80	Tulsa	Amer	21-10	+9.65	103.2	168	93.6	34	65.8	297	+.076	19	+3.19	98	103.5	116	100.3	89	-4.68	315
